Product_ID,Product_Category,Brand_Tier,Unit_Price,Discount_Percentage,Advertising_Spend,Competitor_Price,Store_Coverage_Count,Customer_Rating,Inventory_Availability_Percentage,Monthly_Units_Sold
PID000001,Beauty & Personal Care,Premium,58.46,1.7,9748.7,47.46,88,4.3,87.9,389
PID000002,Grocery,Mid-range,15.98,17.9,5279.12,48.54,215,3.8,99.5,450
PID000003,Beauty & Personal Care,Budget,16.35,17.7,5165.84,59.57,481,3.5,96.7,594
PID000004,Grocery,Mid-range,11.31,34,5369.59,79.49,130,3.9,89.8,490
PID000005,Home & Kitchen,Budget,40.62,27,1863.59,33.38,526,3.5,81.8,362
PID000006,Beauty & Personal Care,Budget,29.21,14.5,2634.04,79.68,387,3.8,100,479
PID000007,Beauty & Personal Care,Mid-range,24.04,12.8,5529.69,21.43,161,3.3,100,175
PID000008,Apparel,Mid-range,36.91,18,4279.43,18.06,352,3.8,85.9,310
PID000009,Home & Kitchen,Mid-range,86.04,17,11491.4,72.93,376,3.7,75.9,646
PID000010,Toys & Games,Premium,66.47,11.3,4233.72,16.6,150,3.8,73.8,59
PID000011,Toys & Games,Mid-range,18.91,5.9,2384.03,92.81,323,4.1,98.4,315
PID000012,Electronics,Premium,416.14,10,5009.46,41.12,87,4.3,81.3,37
PID000013,Electronics,Budget,216.19,13,7218.56,104.98,344,2.8,73.4,130
PID000014,Electronics,Premium,283.74,9.2,1719.35,200.38,159,4.4,77.2,123
PID000015,Home & Kitchen,Mid-range,38.14,15.3,6784.14,62.67,220,4.1,100,511
PID000016,Home & Kitchen,Mid-range,66.26,34.8,3791.15,95.77,257,4.2,64,431
PID000017,Electronics,Premium,395.93,8,6731.4,224.56,105,4.5,88.5,335
PID000018,Electronics,Mid-range,293.22,1.6,3049.25,449.71,202,4,100,430
PID000019,Apparel,Mid-range,40.7,26.5,4346.01,37.52,185,3.9,100,437
PID000020,Grocery,Mid-range,19.91,3.6,6902.09,100.29,375,3.9,78.3,398
PID000021,Electronics,Midrange,225.34,37.5,4622.5,476.12,275,3.9,91.7,842
PID000022,Toys & Games,Budget,32.01,12.7,2962.4,70.45,385,3.7,92.4,326
PID000023,Electronics,Mid-range,291.62,21.6,3582.11,83.49,262,2.8,82,5
PID000024,Furniture,Mid-range,402.92,11.3,4011.85,313.81,353,3.8,97.5,408
PID000025,Apparel,Premium,39.77,13,1762.84,25.14,121,4,88,206
PID000026,Electronics,Mid-range,322.96,8.3,1288.65,175.79,289,3.5,75.7,5
PID000027,Beauty & Personal Care,Premium,58.68,5.3,5777.79,79.38,117,3.8,74.1,224
PID000028,Sports & Fitness,Mid-range,40.58,13.9,4250.18,27.13,251,3.9,87,279
PID000029,Sports & Fitness,Budget,59.73,25.2,2714.34,99.47,465,3.6,65.6,273
PID000030,Sports & Fitness,Premium,107.79,,8864.44,19.19,152,4.5,84.8,384
PID000031,Home & Kitchen,Premium,106.1,7.9,2989.23,170.59,192,4.7,79.1,362
PID000032,Toys & Games,Mid-range,20.84,15.7,5967.27,157.77,310,3.5,82.1,376
PID000033,Apparel,Budget,40.49,3.7,3307.75,85.3,329,3.8,100,299
PID000034,Electronics,Budget,155.73,29.6,2878.17,299.33,351,3.1,89.4,484
PID000035,Apparel,Mid-range,49.61,26.9,7478.89,92.39,132,3,89.4,343
PID000036,,Premium,24.06,5.7,,150.05,121,4.2,76.2,217
PID000037,Home & Kitchen,Mid-range,95.77,5.8,7262.05,147.07,125,4.5,88.6,475
PID000038,Electronics,Premium,512.31,2.6,5819.93,339.47,112,4.5,82.9,279
PID000039,Toys & Games,Budget,16.43,38.4,4162.65,16.6,231,3.8,78.8,354
PID000040,Home & Kitchen,Mid-range,52.03,37.5,5382.46,137.45,242,3.8,100,642
PID000041,Apparel,Mid-range,23.66,11.6,2551.44,56.74,245,4,94.9,315
PID000042,Electronics,Mid-range,256.79,12,3336.15,211.48,144,3.2,89.9,135
PID000043,Sports & Fitness,Mid-range,33.34,7.1,3011.86,110.79,379,4.3,62.9,287
PID000044,Sports & Fitness,Mid-range,76.71,27.4,150,149.1,320,3.1,100,342
PID000045,Toys & Games,Budget,37.09,29.9,4844.2,40.43,447,3.3,73.4,305
PID000046,Beauty & Personal Care,Budget,23.57,17.1,5820.78,170.03,242,3.7,85.9,528
PID000047,Furniture,Mid-range,273.52,3.2,150,427.95,236,3.2,85.9,93
PID000048,Beauty & Personal Care,Budget,29.77,30.8,1326.88,147.31,424,2.7,93.4,363
PID000049,Beauty & Personal Care,Mid-range,9.89,38.2,5700.42,77.81,243,3.6,84.5,668
PID000050,Toys & Games,Mid-range,27.6,3.3,5119.35,42.97,136,4.4,100,390
PID000051,Toys & Games,Mid-range,32.5,10.3,3314.63,42.13,197,3.5,82.9,101
PID000052,Furniture,Mid-range,266.48,18,4764.45,224.43,292,3.8,100,488
PID000053,Beauty & Personal Care,Budget,18.87,15.6,1854.67,16.15,505,3.4,68.9,155
PID000054,Apparel,Mid-range,27.23,13.9,2755.29,18.06,311,4.6,97.3,430
